oco_id;codigo_ocorrencia2;aeronave_fatalidades_total
1;43628;0
2;43629;0
3;43630;0
4;43631;0
5;43633;0
6;43634;0
7;43637;0
8;43639;0
9;43642;0
10;43643;0
11;43648;0
12;43649;0
13;43652;0
14;43653;0
15;43655;0
16;43656;0
17;43657;0
18;43658;1
19;43702;0
20;43703;0
21;43704;1
22;43705;6
23;43706;0
24;43707;0
25;43711;0
26;43715;0
27;43731;0
28;43732;0
29;43733;0
30;43735;0
31;43738;0
32;43742;0
33;43752;0
34;43764;0
35;43767;0
36;43774;0
37;43775;3
38;43776;0
39;43778;0
40;43779;0
41;43808;2
42;43809;1
43;43811;0
44;43812;0
45;43814;0
46;43817;0
47;43818;0
48;43819;0
49;43820;0
50;43828;0
51;43829;0
52;43831;0
53;43832;0
54;43836;0
55;43837;0
56;43838;0
57;43869;1
58;43869;0
59;43870;0
60;43871;0
61;43872;0
62;43873;0
63;43874;0
64;43875;0
65;43876;0
66;43885;0
67;43894;0
68;43895;0
69;43899;0
70;43900;0
71;43901;0
72;43903;0
73;43904;0
74;43906;0
75;43908;0
76;43909;0
77;43910;0
78;43911;0
79;43912;0
80;43913;0
81;43914;0
82;43915;0
83;43945;0
84;43946;0
85;43973;0
86;43977;0
87;43978;1
88;43979;0
89;43980;0
90;43981;0
91;43983;0
92;43984;0
93;43986;0
94;43988;0
95;43989;0
96;43992;0
97;43994;0
98;43998;0
99;44001;0
100;44003;0
101;44004;0
102;44005;0
103;44007;0
104;44008;0
105;44009;0
106;44011;0
107;44012;0
108;44014;0
109;44017;0
110;44022;0
111;44040;0
112;44043;0
113;44045;0
114;44052;0
115;44055;0
116;44060;0
117;44062;0
118;44064;0
119;44078;0
120;44079;0
121;44081;0
122;44082;1
123;44085;0
124;44086;0
125;44087;0
126;44118;0
127;44122;0
128;44125;0
129;44128;0
130;44131;0
131;44140;0
132;44141;0
133;44143;0
134;44144;0
135;44146;0
136;44148;0
137;44149;0
138;44153;0
139;44155;0
140;44156;0
141;44159;0
142;44173;0
