codigo_ocorrencia2;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;matricula;assentos
43628;DEPUTADO LUÍS EDUARDO MAGALHÃES;FAZENDA PONTAL;POUSO;SUBSTANCIAL;0;PTEHG;10
43629;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;SUBSTANCIAL;0;PTHVW;2
43630;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;LEVE;0;PTXRK;1
43631;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;NENHUM;0;PRGGM;197
43633;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PRPSK;54
43634;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;LEVE;0;PTMFJ;50
43637;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;LEVE;0;N305FE;0
43639;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;NENHUM;0;PRJFC;11
43642;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;LEVE;0;PPGNI;3
43643;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PPKBS;2
43648;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;LEVE;0;PTRCB;6
43649;PRESIDENTE JUSCELINO KUBITSCHEK;GUARARAPES - GILBERTO FREYRE;DESCIDA;NENHUM;0;PRMHZ;184
43652;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;NENHUM;0;PTNXJ;4
43653;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;NENHUM;0;PPMAH;14
43655;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;NENHUM;0;PROMN;17
43656;PRESIDENTE JUSCELINO KUBITSCHEK;SANTA GENOVEVA/GOIÂNIA;DECOLAGEM;DESTRUÍDA;0;PTHGP;2
43657;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTWCU;1
43658;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;SUBSTANCIAL;1;PTDJS;1
43702;PLÁCIDO DE CASTRO;TARAUACÁ;APROXIMAÇÃO FINAL;SUBSTANCIAL;0;PRRMI;11
43703;PARQUE ANA COSTA;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTURK;1
43704;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;DESTRUÍDA;1;PTGHP;1
43705;PRESIDENTE JUSCELINO KUBITSCHEK;SANTA GENOVEVA/GOIÂNIA;APROXIMAÇÃO FINAL;DESTRUÍDA;6;PRART;12
43706;MANUEL URBANO;EIRUNEPÉ;CRUZEIRO;SUBSTANCIAL;0;PTRHW;7
43707;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;NENHUM;0;PRAZR;71
43711;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;NENHUM;0;PRSAC;6
43715;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PTIDB;4
43731;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;SUBSTANCIAL;0;PTYDW;2
43732;PLÁCIDO DE CASTRO;PAUINI;CORRIDA APÓS POUSO;LEVE;0;PTESV;6
43733;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;LEVE;0;PTMFV;49
43735;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;NENHUM;0;PRHOM;6
43738;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;LEVE;0;PRVMD;8
43742;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;NENHUM;0;PRIDR;6
43752;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PPBIL;0
